Date,Description,Amount,Balance
2024-03-01,Salary Deposit,5500.00,19863.26
2024-03-03,Rent Payment,-1500.00,18363.26
2024-03-05,Grocery Store,-156.75,18206.51
2024-03-07,Restaurant,-78.50,18128.01
2024-03-09,Uber Ride,-22.00,18106.01
2024-03-11,Electricity Bill,-158.00,17948.01
2024-03-13,Amazon Purchase,-123.45,17824.56
2024-03-15,Gas Station,-68.00,17756.56
2024-03-17,Coffee Shop,-14.25,17742.31
2024-03-19,Side Project Payment,800.00,18542.31
2024-03-21,Internet Bill,-79.99,18462.32
2024-03-23,Shopping Mall,-234.50,18227.82
2024-03-25,Pharmacy,-38.90,18188.92
2024-03-27,Restaurant Dinner,-92.00,18096.92
2024-03-29,Gaming Subscription,-14.99,18081.93
2024-03-31,Supermarket,-145.60,17936.33

