Date,Description,Amount,Balance
2024-02-01,Salary Deposit,5500.00,15826.43
2024-02-03,Rent Payment,-1500.00,14326.43
2024-02-05,Grocery Store,-142.30,14184.13
2024-02-07,Gym Membership,-59.99,14124.14
2024-02-08,Spotify Subscription,-9.99,14114.15
2024-02-10,Uber Eats Order,-35.75,14078.40
2024-02-12,Gas Station,-62.00,14016.40
2024-02-14,Valentine's Dinner,-125.00,13891.40
2024-02-15,Medical Checkup,-180.00,13711.40
2024-02-17,Amazon Purchase,-67.50,13643.90
2024-02-18,Coffee Shop,-8.75,13635.15
2024-02-20,Bonus Payment,1000.00,14635.15
2024-02-22,Phone Bill,-55.00,14580.15
2024-02-24,Supermarket,-178.90,14401.25
2024-02-26,Movie Streaming,-12.99,14388.26
2024-02-28,Parking Fee,-25.00,14363.26

