Date,Description,Amount,Balance
2024-01-01,Opening Balance,0.00,5000.00
2024-01-05,Salary Deposit,5500.00,10500.00
2024-01-06,Grocery Store Purchase,-125.50,10374.50
2024-01-07,Netflix Subscription,-15.99,10358.51
2024-01-08,Uber Ride,-28.75,10329.76
2024-01-10,Restaurant Dinner,-85.30,10244.46
2024-01-12,Electricity Bill Payment,-145.00,10099.46
2024-01-15,Amazon Purchase,-89.99,10009.47
2024-01-16,Gas Station,-55.00,9954.47
2024-01-18,Coffee Shop,-12.50,9941.97
2024-01-20,Freelance Income,1200.00,11141.97
2024-01-22,Internet Bill,-79.99,11061.98
2024-01-23,Pharmacy,-45.25,11016.73
2024-01-25,Supermarket,-165.80,10850.93
2024-01-26,Movie Tickets,-32.00,10818.93
2024-01-28,Insurance Premium,-250.00,10568.93
2024-01-29,ATM Withdrawal,-200.00,10368.93
2024-01-30,Restaurant Lunch,-42.50,10326.43

